ma_short,ma_long,夏普比率,策略年化回报,策略总回报,最大回撤
5,30,1.1240965812223913,0.4619744508228316,294.52688535878036,-0.6814954444386846
5,35,1.0295724057105695,0.4195099464764349,187.58893805207217,-0.5624280422203732
7,40,0.9930226809768101,0.4192971371871175,185.90798102739723,-0.6516239824659121
11,30,0.9782446124275391,0.38233017505757516,126.70069963463457,-0.5116477512923286
5,40,0.9725019274698375,0.38668783854590116,131.08007305311654,-0.5444590002892283
11,35,0.9696406648457264,0.39741080454556243,148.14026491568774,-0.5249707758120257
17,30,0.9603470775879747,0.364702968808585,104.36752023791992,-0.4977261276548123
9,40,0.9592620767391267,0.4094510363444894,167.448115112746,-0.7031201944123712
5,45,0.9545842733460812,0.3930020236789289,139.45952248292832,-0.6222070365106224
7,45,0.9501197299792862,0.37400319483849986,113.43974731363093,-0.5822036777344431
9,55,0.9499854463228614,0.41482706557528193,173.7829213670144,-0.6184784489145135
19,30,0.949661979329597,0.3517987423069018,90.39087472646821,-0.6411500330364944
3,30,0.9467633314365532,0.39698238069348246,148.5488985569658,-0.6715278247743874
5,50,0.9376750632812559,0.38278426359050854,124.07032488750323,-0.5812799680159181
5,60,0.9305870742353596,0.4059047424681568,157.0449304083559,-0.6733663966594804
11,45,0.9266164596145766,0.4022457294224109,154.02541748683495,-0.5343359783515687
5,55,0.9264376666511285,0.39328483624538535,138.10585732433685,-0.6697214101379748
11,40,0.9252582236902279,0.36772888691718153,106.52993431712957,-0.6576915874736138
5,85,0.9219951047403541,0.3976493051148706,139.1005610024867,-0.623519866052799
9,30,0.9200409076814485,0.3767015672807923,119.12991000179667,-0.7691284357879888
