Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-03-06 00:00:00-05:00,80.43010277767043,81.32129603430033,79.88265569959545,80.25823211669922,6917000,0.0,0.0,0.0
2001-03-07 00:00:00-05:00,80.78024267255398,80.86936154200887,80.0545576746418,80.83116912841797,6371700,0.0,0.0,0.0
2001-03-08 00:00:00-05:00,80.58927857726084,80.99668054979877,80.29645871303762,80.92029571533203,6055000,0.0,0.0,0.0
2001-03-09 00:00:00-05:00,80.27096858890243,80.27096858890243,78.36763768083121,78.52677917480469,10020300,0.0,0.0,0.0
2001-03-12 00:00:00-05:00,77.87748587292117,77.9793387690184,74.9556501228728,75.16571807861328,13972900,0.0,0.0,0.0
2001-03-13 00:00:00-05:00,76.0059594383518,76.66798847010425,74.81557961347788,76.40062713623047,12888000,0.0,0.0,0.0
2001-03-14 00:00:00-05:00,74.5100368530418,75.9359430386777,73.68249928131948,74.89197540283203,19883400,0.0,0.0,0.0
2001-03-15 00:00:00-05:00,75.40122536034409,75.66221969822307,74.70737089320421,74.91107177734375,10370300,0.0,0.0,0.0
2001-03-16 00:00:00-05:00,74.76169623593259,74.93403447441521,73.28088759152837,73.4085464477539,58514600,0.316,0.0,0.0
2001-03-19 00:00:00-05:00,73.88729020693263,75.11917073575444,73.28730548076035,74.90215301513672,10067800,0.0,0.0,0.0
2001-03-20 00:00:00-05:00,75.25317836297694,75.61061344028215,72.83409769121442,72.89154052734375,15083900,0.0,0.0,0.0
2001-03-21 00:00:00-05:00,72.87878580941694,73.56812914370352,71.42350868349301,71.65328979492188,19004600,0.0,0.0,0.0
2001-03-22 00:00:00-05:00,71.50012253531689,71.87032609926857,68.959770895102,70.92567443847656,28624800,0.0,0.0,0.0
2001-03-23 00:00:00-05:00,72.28520314361968,73.18518019570642,71.16821324956817,73.0702896118164,12861700,0.0,0.0,0.0
2001-03-26 00:00:00-05:00,73.84899130635493,74.21281069804022,73.25539073363792,74.00218200683594,9943800,0.0,0.0,0.0
2001-03-27 00:00:00-05:00,73.79788569781249,75.73187201736975,73.5808681115951,75.51485443115234,12880700,0.0,0.0,0.0
2001-03-28 00:00:00-05:00,74.61497437020553,74.64688546609578,73.3384136619717,73.42777252197266,10953300,0.0,0.0,0.0
2001-03-29 00:00:00-05:00,73.21067203591036,74.35957732442004,71.57667773197407,73.70853424072266,12060300,0.0,0.0,0.0
2001-03-30 00:00:00-05:00,73.75325717357636,74.48089599609375,73.08306121456245,74.48089599609375,9183600,0.0,0.0,0.0
2001-04-02 00:00:00-04:00,74.2319318066137,74.92127018860407,72.63623254051872,72.89154052734375,10561000,0.0,0.0,0.0
